Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
MG,IM6 Long Range,500 km,629 km,96.5 kWh,2320 kg,5.4 sec,193 Wh/km,5,D,250 kW,unknown,697 L,€110 /km,N/A
Hyundai,IONIQ 5 84 kWh AWD (MY24),445 km,553 km,80.0 kWh,2165 kg,5.3 sec,180 Wh/km,5,C,205 kW,1600 kg,544 L,€134 /km,"€59,400"
Hyundai,IONIQ 5 Standard Range 2WD (MY21),295 km,367 km,54.0 kWh,1905 kg,8.5 sec,183 Wh/km,5,C,140 kW,750 kg,588 L,€162 /km,"€43,900"
Mini,Cooper SE,330 km,356 km,49.2 kWh,1680 kg,6.7 sec,149 Wh/km,4,B,75 kW,0 kg,200 L,€117 /km,"€36,900"
BMW,i4 M50,450 km,510 km,80.7 kWh,2290 kg,3.9 sec,179 Wh/km,5,D,131 kW,1600 kg,470 L,€170 /km,"€70,800"
KGM,Torres EVX 80.6 kWh (MY26),400 km,403 km,79.0 kWh,2000 kg,8.2 sec,198 Wh/km,5,C,95 kW,1500 kg,839 L,€103 /km,N/A
Tesla,Model S 100D,485 km,486 km,95.0 kWh,2290 kg,4.3 sec,196 Wh/km,5,F,100 kW,0 kg,895 L,€223 /km,"€108,420"
Volkswagen,ID.3 Pro,350 km,378 km,58.0 kWh,1815 kg,7.3 sec,166 Wh/km,5,C,82 kW,0 kg,385 L,€125 /km,"€39,995"
Opel,Corsa-e (MY22-23),295 km,321 km,46.3 kWh,1530 kg,8.1 sec,157 Wh/km,5,B,78 kW,0 kg,267 L,€127 /km,"€36,395"
Jeep,Avenger Electric,310 km,327 km,50.8 kWh,1595 kg,9.0 sec,164 Wh/km,5,B,85 kW,0 kg,355 L,€122 /km,"€38,500"
Volkswagen,e-Up!,205 km,188 km,32.3 kWh,1248 kg,11.9 sec,158 Wh/km,4,A,30 kW,0 kg,250 L,€136 /km,"€29,995"
Tesla,Model S AWD (MY26),590 km,667 km,95.0 kWh,2167 kg,3.2 sec,161 Wh/km,5,F,140 kW,unknown,798 L,€188 /km,"€110,970"
Hyundai,IONIQ 5 Long Range 2WD (MY22),390 km,492 km,74.0 kWh,2010 kg,7.3 sec,190 Wh/km,5,C,200 kW,1600 kg,584 L,€132 /km,"€47,900"
Smart,#5 Brabus (MY25),450 km,561 km,94.0 kWh,2453 kg,3.8 sec,209 Wh/km,5,D,230 kW,1600 kg,677 L,€136 /km,"€60,900"
Volkswagen,ID.3 Pure (MY24-26),325 km,376 km,52.0 kWh,1787 kg,8.2 sec,160 Wh/km,5,C,90 kW,0 kg,385 L,€100 /km,"€33,330"
Nissan,LEAF 40 kWh (MY18-22),235 km,218 km,39.0 kWh,1580 kg,7.9 sec,166 Wh/km,5,C,40 kW,0 kg,435 L,€136 /km,"€29,990"
BYD,SEALION 7 82.5 kWh AWD Design,405 km,431 km,82.5 kWh,2415 kg,4.5 sec,204 Wh/km,5,D,115 kW,1500 kg,578 L,€138 /km,"€53,990"
Kia,EV4 Fastback 81.4 kWh,495 km,518 km,78.0 kWh,1900 kg,7.7 sec,158 Wh/km,5,C,105 kW,1000 kg,490 L,€93 /km,"€47,140"
BMW,i4 eDrive40,515 km,589 km,81.3 kWh,2125 kg,5.6 sec,158 Wh/km,5,D,131 kW,1600 kg,470 L,€124 /km,"€60,500"
Hyundai,IONIQ 9 Long Range AWD,495 km,567 km,106.0 kWh,2653 kg,6.7 sec,214 Wh/km,7,F,195 kW,2500 kg,390 L,€160 /km,"€81,500"
Mazda,6e Long Range 80 kWh,440 km,421 km,75.0 kWh,2037 kg,7.8 sec,170 Wh/km,5,D,70 kW,1500 kg,526 L,€107 /km,"€46,500"
Volkswagen,ID.7 Tourer Pro S (MY26),520 km,589 km,86.0 kWh,2235 kg,6.7 sec,165 Wh/km,5,E,145 kW,1000 kg,605 L,€116 /km,"€59,895"
BYD,DOLPHIN SURF 43.2 kWh Boost,270 km,283 km,43.2 kWh,1445 kg,12.1 sec,160 Wh/km,4,B,60 kW,0 kg,308 L,€95 /km,"€26,990"
Hyundai,IONIQ Electric,190 km,225 km,28.0 kWh,1495 kg,9.9 sec,147 Wh/km,5,C,65 kW,0 kg,350 L,€173 /km,"€33,300"
Renault,Scenic E-Tech EV87 220hp,480 km,481 km,87.0 kWh,1917 kg,7.9 sec,181 Wh/km,5,C,95 kW,1100 kg,545 L,€100 /km,"€48,900"
Hyundai,IONIQ 5 Long Range AWD (MY22),385 km,484 km,74.0 kWh,2120 kg,5.1 sec,192 Wh/km,5,C,200 kW,1600 kg,551 L,€154 /km,"€59,200"
Hongqi,E-HS9 99 kWh,370 km,367 km,90.0 kWh,2705 kg,4.9 sec,243 Wh/km,5,F,112 kW,1500 kg,438 L,€216 /km,N/A
BMW,i4 eDrive35,430 km,486 km,67.1 kWh,2075 kg,6.0 sec,156 Wh/km,5,D,95 kW,1600 kg,470 L,€137 /km,"€57,500"
Hyundai,IONIQ 6 Long Range AWD,440 km,568 km,74.0 kWh,2095 kg,5.1 sec,168 Wh/km,5,D,200 kW,1500 kg,416 L,€135 /km,"€61,100"
MG,MG4 Electric 77 kWh,425 km,454 km,74.4 kWh,1826 kg,6.5 sec,175 Wh/km,5,C,110 kW,500 kg,363 L,€101 /km,"€45,990"
BMW,iX xDrive60,525 km,554 km,109.1 kWh,2580 kg,4.6 sec,208 Wh/km,5,E,150 kW,2500 kg,500 L,€195 /km,"€99,900"
Smart,EQ fortwo coupe,100 km,71 km,16.7 kWh,1095 kg,11.6 sec,167 Wh/km,2,A,0 kW,0 kg,260 L,€241 /km,"€21,940"
Lucid,Gravity Grand Touring (MY26),625 km,737 km,123.0 kWh,2684 kg,3.6 sec,197 Wh/km,7,F,210 kW,2500 kg,1663 L,€189 /km,"€116,900"
Audi,e-tron GT quattro,420 km,529 km,85.0 kWh,2350 kg,4.1 sec,202 Wh/km,4,F,216 kW,0 kg,490 L,€253 /km,"€106,050"
Volvo,EX30 Single Motor (MY24-26),275 km,306 km,49.0 kWh,1840 kg,5.7 sec,178 Wh/km,5,B,80 kW,1000 kg,325 L,€137 /km,"€39,790"
Peugeot,e-208 (MY20-21),270 km,294 km,46.3 kWh,1530 kg,8.1 sec,171 Wh/km,5,B,78 kW,0 kg,265 L,€119 /km,"€30,450"
XPENG,G9 RWD Long Range (MY25),480 km,619 km,92.2 kWh,2365 kg,6.4 sec,192 Wh/km,5,E,330 kW,1500 kg,731 L,€135 /km,"€63,600"
BYD,DOLPHIN 60.4 kWh (MY25),350 km,354 km,60.5 kWh,1733 kg,7.0 sec,173 Wh/km,5,C,75 kW,0 kg,345 L,€101 /km,"€34,640"
BYD,HAN,475 km,473 km,85.4 kWh,2325 kg,3.9 sec,180 Wh/km,5,E,85 kW,0 kg,410 L,€146 /km,"€69,020"
Tesla,Model Y Long Range AWD,425 km,484 km,72.0 kWh,2056 kg,5.0 sec,169 Wh/km,5,D,108 kW,1600 kg,971 L,€147 /km,"€59,965"
Citroën,ë-C3 Aircross Extended Range 54 kWh,290 km,298 km,53.5 kWh,1608 kg,13.0 sec,184 Wh/km,5,B,70 kW,550 kg,460 L,€101 /km,"€30,690"
Polestar,4 Long Range Single Motor,495 km,533 km,94.0 kWh,2305 kg,7.4 sec,190 Wh/km,5,E,135 kW,1500 kg,541 L,€133 /km,"€63,200"
TOGG,T10X Long Range RWD,440 km,469 km,85.0 kWh,2173 kg,7.8 sec,193 Wh/km,5,C,115 kW,0 kg,441 L,€91 /km,"€40,118"
Volkswagen,ID.3 Pro,350 km,378 km,58.0 kWh,1812 kg,9.6 sec,166 Wh/km,5,C,82 kW,0 kg,385 L,€104 /km,"€35,460"
Opel,Mokka-e 50 kWh,260 km,285 km,46.3 kWh,1598 kg,9.2 sec,178 Wh/km,5,B,78 kW,0 kg,310 L,€154 /km,"€40,650"
Kia,EV6 Long Range 2WD,455 km,565 km,80.0 kWh,2050 kg,7.3 sec,176 Wh/km,5,C,205 kW,1800 kg,542 L,€111 /km,"€49,990"
Peugeot,e-3008 97 kWh Long Range,500 km,512 km,96.9 kWh,2241 kg,8.7 sec,194 Wh/km,5,C,135 kW,1200 kg,588 L,€106 /km,"€52,850"
Mercedes-Benz,EQB 300 4MATIC,345 km,357 km,66.5 kWh,2165 kg,8.0 sec,193 Wh/km,7,C,100 kW,1700 kg,495 L,€174 /km,"€55,519"
Renault,Megane E-Tech EV60 220hp (TU2025),380 km,410 km,60.0 kWh,1719 kg,7.4 sec,158 Wh/km,5,C,87 kW,900 kg,440 L,€101 /km,"€40,990"
Škoda,Enyaq iV 60 (MY21-23),340 km,361 km,58.0 kWh,1965 kg,8.7 sec,171 Wh/km,5,C,82 kW,1000 kg,585 L,€129 /km,"€42,100"
MG,ZS EV,220 km,222 km,42.5 kWh,1566 kg,8.2 sec,193 Wh/km,5,B,53 kW,0 kg,448 L,€141 /km,"€31,990"
Mercedes-Benz,EQA 250+,420 km,414 km,70.5 kWh,2050 kg,8.6 sec,168 Wh/km,5,C,90 kW,1500 kg,340 L,€126 /km,"€52,205"
Polestar,4 Long Range Dual Motor,485 km,524 km,94.0 kWh,2430 kg,3.8 sec,194 Wh/km,5,E,135 kW,2000 kg,541 L,€152 /km,"€71,200"
BMW,iX xDrive45,470 km,490 km,94.8 kWh,2525 kg,5.1 sec,202 Wh/km,5,E,115 kW,2500 kg,500 L,€182 /km,"€83,500"
Audi,Q6 SUV e-tron quattro,480 km,567 km,94.9 kWh,2400 kg,5.9 sec,198 Wh/km,5,D,200 kW,2400 kg,590 L,€161 /km,"€74,700"
Dacia,Spring Electric 45,165 km,151 km,25.0 kWh,1012 kg,19.1 sec,152 Wh/km,4,A,29 kW,0 kg,300 L,€134 /km,"€22,550"
Peugeot,e-5008 73 kWh,370 km,388 km,73.0 kWh,2260 kg,9.7 sec,197 Wh/km,7,D,90 kW,1000 kg,348 L,€140 /km,"€51,250"
Tesla,Model X 100D,435 km,434 km,95.0 kWh,2533 kg,4.9 sec,218 Wh/km,7,F,100 kW,2250 kg,unknown,€259 /km,"€115,000"
Hyundai,Kona Electric 39 kWh,245 km,223 km,39.2 kWh,1610 kg,9.9 sec,160 Wh/km,5,B,37 kW,0 kg,332 L,€149 /km,"€36,400"
Porsche,Macan Electric (MY25),495 km,587 km,95.0 kWh,2295 kg,5.7 sec,192 Wh/km,5,D,200 kW,2000 kg,624 L,€165 /km,"€80,700"
Opel,Frontera Electric 44 kWh,240 km,249 km,43.8 kWh,1589 kg,12.1 sec,183 Wh/km,5,B,60 kW,350 kg,460 L,€118 /km,"€28,990"
Tesla,Model Y RWD (BYD LFP),345 km,429 km,57.0 kWh,1992 kg,6.9 sec,165 Wh/km,5,D,140 kW,1600 kg,971 L,€139 /km,"€45,970"
Renault,5 E-Tech 40kWh 95hp,260 km,188 km,40.0 kWh,1428 kg,12.0 sec,154 Wh/km,5,B,0 kW,500 kg,326 L,€94 /km,"€24,900"
Leapmotor,C10 RWD 69.9 kWh,355 km,329 km,69.9 kWh,2055 kg,7.5 sec,197 Wh/km,5,D,70 kW,1500 kg,435 L,€107 /km,"€37,600"
Volkswagen,ID. Buzz LWB Pro,390 km,432 km,86.0 kWh,2628 kg,7.9 sec,221 Wh/km,7,N,145 kW,1000 kg,1340 L,€159 /km,"€62,719"
BMW,i4 M60 xDrive,465 km,524 km,81.1 kWh,2285 kg,3.7 sec,174 Wh/km,5,D,130 kW,1600 kg,470 L,€167 /km,"€72,900"
Tesla,Model S Long Range,530 km,561 km,95.0 kWh,2255 kg,3.8 sec,179 Wh/km,5,F,110 kW,0 kg,894 L,€155 /km,"€79,990"
Alpine,A390 GTS,470 km,516 km,89.0 kWh,2196 kg,3.9 sec,189 Wh/km,5,D,140 kW,1350 kg,532 L,€168 /km,"* €77,000"
Peugeot,e-208 (MY22),285 km,311 km,46.3 kWh,1530 kg,9.0 sec,162 Wh/km,5,B,78 kW,0 kg,265 L,€129 /km,"€39,100"
Honda,e:Ny1,335 km,318 km,61.9 kWh,1730 kg,7.6 sec,185 Wh/km,5,B,60 kW,0 kg,361 L,€130 /km,"€38,990"
MG,Marvel R,365 km,344 km,70.0 kWh,1885 kg,7.9 sec,192 Wh/km,5,C,82 kW,750 kg,507 L,€125 /km,"€46,990"
Renault,5 E-Tech 40kWh 120hp,260 km,269 km,40.0 kWh,1447 kg,9.0 sec,154 Wh/km,5,B,55 kW,500 kg,326 L,€103 /km,"€27,900"
Opel,Astra Electric,320 km,343 km,50.8 kWh,1736 kg,9.2 sec,159 Wh/km,5,C,85 kW,0 kg,352 L,€123 /km,"€41,990"
Tesla,Model X Plaid,465 km,516 km,95.0 kWh,2539 kg,2.9 sec,204 Wh/km,6,F,140 kW,2250 kg,608 L,€280 /km,"€125,970"
Ford,Mustang Mach-E ER RWD (MY24),480 km,489 km,91.0 kWh,2161 kg,5.9 sec,190 Wh/km,5,D,115 kW,1500 kg,619 L,€120 /km,"€58,500"
Volkswagen,ID.7 Pro S (MY26),525 km,600 km,86.0 kWh,2226 kg,6.6 sec,164 Wh/km,5,E,145 kW,1000 kg,532 L,€113 /km,"€59,095"
Zeekr,001 Long Range RWD,505 km,547 km,94.0 kWh,2275 kg,7.2 sec,186 Wh/km,5,E,135 kW,1500 kg,539 L,€118 /km,N/A
Honda,e,170 km,169 km,28.5 kWh,1588 kg,9.0 sec,168 Wh/km,4,B,32 kW,0 kg,171 L,€215 /km,"€33,850"
Fiat,500e Hatchback 24 kWh,135 km,153 km,21.3 kWh,1255 kg,9.0 sec,158 Wh/km,4,B,40 kW,0 kg,185 L,€219 /km,"€30,990"
Audi,Q8 SUV e-tron 55 quattro,505 km,515 km,106.0 kWh,2585 kg,5.6 sec,210 Wh/km,5,E,144 kW,1800 kg,631 L,€171 /km,"€87,300"
Škoda,Elroq 50 (MY25),310 km,351 km,52.0 kWh,1946 kg,9.0 sec,168 Wh/km,5,C,90 kW,1000 kg,470 L,€111 /km,"€33,900"
Tesla,Model 3 Long Range RWD,495 km,586 km,75.0 kWh,1825 kg,5.9 sec,152 Wh/km,5,D,124 kW,1000 kg,649 L,€102 /km,N/A
Dacia,Spring Electric 65,160 km,149 km,25.0 kWh,1032 kg,13.7 sec,156 Wh/km,4,A,29 kW,0 kg,343 L,€119 /km,"€18,900"
CUPRA,Born 170 kW - 79 kWh,470 km,526 km,79.0 kWh,1977 kg,7.1 sec,168 Wh/km,5,C,135 kW,0 kg,385 L,€92 /km,"€47,350"
Opel,Corsa Electric 51 kWh (MY24),315 km,341 km,48.1 kWh,1544 kg,8.1 sec,153 Wh/km,5,B,80 kW,0 kg,267 L,€118 /km,"€38,045"
Hyundai,INSTER Standard Range,255 km,266 km,39.0 kWh,1380 kg,11.7 sec,153 Wh/km,4,A,60 kW,unknown,280 L,€98 /km,"€23,900"
BMW,iX2 eDrive20,395 km,427 km,64.7 kWh,1960 kg,8.6 sec,164 Wh/km,5,C,93 kW,750 kg,525 L,€135 /km,"€49,400"
KGM,Musso EV 4WD,360 km,350 km,81.0 kWh,2385 kg,8.0 sec,225 Wh/km,5,N,100 kW,1800 kg,907 L,€135 /km,N/A
Alpine,A290 Electric 220 hp,305 km,316 km,52.0 kWh,1554 kg,6.4 sec,170 Wh/km,5,B,70 kW,500 kg,326 L,€135 /km,"€41,900"
Volvo,EX90 Twin Motor (MY24-25),505 km,546 km,107.0 kWh,2754 kg,5.9 sec,212 Wh/km,7,F,150 kW,2200 kg,703 L,€187 /km,"€91,700"
Volvo,EX30 Twin Motor Performance (MY24-26),340 km,384 km,65.0 kWh,1960 kg,3.6 sec,191 Wh/km,5,B,114 kW,1600 kg,325 L,€145 /km,"€51,690"
Porsche,Macan 4 Electric (MY24-25),470 km,563 km,95.0 kWh,2405 kg,5.2 sec,202 Wh/km,5,D,200 kW,2000 kg,624 L,€180 /km,"€84,100"
Changan,Deepal S07 Standard,410 km,386 km,78.0 kWh,2148 kg,7.9 sec,190 Wh/km,5,D,70 kW,1500 kg,635 L,€111 /km,"€44,990"
XPENG,G9 RWD Long Range (MY24),480 km,592 km,93.1 kWh,2285 kg,6.4 sec,194 Wh/km,5,E,224 kW,1500 kg,731 L,€132 /km,"€63,600"
Hyundai,IONIQ 5 N (MY24),390 km,482 km,80.0 kWh,2225 kg,3.4 sec,205 Wh/km,5,C,205 kW,0 kg,480 L,€191 /km,"€74,900"
Fiat,600e,310 km,333 km,50.8 kWh,1595 kg,9.0 sec,164 Wh/km,5,B,79 kW,0 kg,360 L,€116 /km,"€36,490"
Tesla,Model X Dual Motor,485 km,539 km,95.0 kWh,2415 kg,3.9 sec,196 Wh/km,7,F,140 kW,2250 kg,608 L,€242 /km,"€115,970"
CUPRA,Tavascan VZ,425 km,446 km,77.0 kWh,2273 kg,5.5 sec,181 Wh/km,5,C,120 kW,1200 kg,540 L,€144 /km,"€60,780"
Ford,Capri Extended Range RWD,455 km,477 km,77.0 kWh,2098 kg,6.4 sec,169 Wh/km,5,D,120 kW,1000 kg,572 L,€112 /km,"€50,911"
Alpine,A390 GT,470 km,486 km,89.0 kWh,2199 kg,4.8 sec,189 Wh/km,5,D,120 kW,1350 kg,532 L,€144 /km,"* €66,000"
XPENG,G6 RWD Standard Range (MY24),365 km,439 km,65.3 kWh,2100 kg,6.9 sec,179 Wh/km,5,D,140 kW,1500 kg,571 L,€123 /km,"€43,600"
Volkswagen,ID. Buzz Pro,345 km,368 km,77.0 kWh,2459 kg,10.2 sec,223 Wh/km,5,N,115 kW,1000 kg,1121 L,€183 /km,"€64,581"
Tesla,Model S 85D,420 km,423 km,80.8 kWh,2184 kg,4.4 sec,192 Wh/km,5,F,95 kW,unknown,895 L,€225 /km,"€92,800"
Mercedes-Benz,EQE 350+ (MY24),555 km,597 km,96.0 kWh,2415 kg,6.5 sec,173 Wh/km,5,E,141 kW,750 kg,430 L,€136 /km,"€71,412"
Volvo,EX40 Single Motor ER (MY26),400 km,441 km,79.0 kWh,2075 kg,7.3 sec,198 Wh/km,5,C,125 kW,1500 kg,441 L,€133 /km,"€55,490"
Renault,Zoe ZE50 R135,310 km,271 km,52.0 kWh,1577 kg,9.5 sec,168 Wh/km,5,B,41 kW,0 kg,338 L,€117 /km,"€37,840"
Peugeot,e-5008 97 kWh Long Range,485 km,496 km,96.9 kWh,2316 kg,9.6 sec,200 Wh/km,7,D,135 kW,1000 kg,348 L,€115 /km,"€55,350"
Peugeot,e-208 51 kWh (MY24),315 km,341 km,48.1 kWh,1530 kg,8.2 sec,153 Wh/km,5,B,80 kW,0 kg,309 L,€124 /km,"€40,875"
BYD,SEAL 61.4 kWh RWD Comfort,365 km,384 km,61.4 kWh,2045 kg,7.5 sec,168 Wh/km,5,D,75 kW,750 kg,453 L,€121 /km,"€46,990"
Hyundai,IONIQ 5 Long Range 2WD (MY21),370 km,459 km,70.0 kWh,1985 kg,7.4 sec,189 Wh/km,5,C,185 kW,1600 kg,588 L,€130 /km,"€45,900"
Tesla,Model Y Long Range AWD Launch Series (Juniper),455 km,535 km,75.0 kWh,2072 kg,4.3 sec,165 Wh/km,5,D,124 kW,1600 kg,971 L,€142 /km,"€61,970"
Toyota,bZ4X FWD 73.1 kWh (MY25),385 km,423 km,69.0 kWh,2025 kg,7.4 sec,179 Wh/km,5,C,110 kW,750 kg,452 L,€127 /km,"€47,990"
Tesla,Model S P85D,390 km,393 km,80.8 kWh,2262 kg,3.3 sec,207 Wh/km,5,F,95 kW,unknown,895 L,€300 /km,"€115,000"
Suzuki,e VITARA 61 kWh 2WD,330 km,307 km,59.8 kWh,1835 kg,8.7 sec,181 Wh/km,5,B,60 kW,750 kg,238 L,€111 /km,N/A
Polestar,2 Long Range Single Motor (MY26),475 km,533 km,79.0 kWh,2084 kg,6.2 sec,166 Wh/km,5,D,125 kW,1500 kg,448 L,€113 /km,"€52,690"
Tesla,Model S 85,405 km,408 km,80.8 kWh,2175 kg,5.6 sec,199 Wh/km,5,F,95 kW,unknown,895 L,€220 /km,"€87,400"
Kia,EV6 GT,360 km,449 km,74.0 kWh,2200 kg,3.5 sec,206 Wh/km,5,C,200 kW,1800 kg,500 L,€198 /km,"€72,990"
Mitsubishi,Eclipse Cross 87 kWh  (MY26),480 km,479 km,87.0 kWh,1901 kg,7.9 sec,181 Wh/km,5,C,95 kW,1100 kg,545 L,€95 /km,N/A
Kia,EV6 Long Range AWD,400 km,505 km,74.0 kWh,2090 kg,5.2 sec,185 Wh/km,5,C,200 kW,1600 kg,500 L,€146 /km,"€55,980"
Lexus,RZ 450e (MY23-25),350 km,384 km,64.0 kWh,2130 kg,5.6 sec,183 Wh/km,5,D,100 kW,750 kg,522 L,€183 /km,"€67,890"
Volkswagen,ID.4 Pure (MY24-25),285 km,318 km,52.0 kWh,1978 kg,9.0 sec,182 Wh/km,5,C,87 kW,1000 kg,543 L,€141 /km,"€40,335"
BYD,DOLPHIN SURF 30 kWh Active,190 km,199 km,30.0 kWh,1369 kg,11.1 sec,158 Wh/km,4,B,45 kW,0 kg,308 L,€118 /km,"€22,990"
Tesla,Model 3 Standard Range Plus (CATL LFP55),350 km,412 km,52.5 kWh,1825 kg,5.6 sec,150 Wh/km,5,D,95 kW,1000 kg,649 L,€136 /km,"€45,560"
Volvo,XC40 Recharge Single Motor (MY24),340 km,352 km,66.0 kWh,2040 kg,7.3 sec,194 Wh/km,5,C,85 kW,1500 kg,441 L,€144 /km,"€47,500"
Hyundai,IONIQ 9 Long Range RWD,500 km,567 km,106.0 kWh,2612 kg,9.4 sec,212 Wh/km,7,F,195 kW,1600 kg,426 L,€141 /km,"€68,500"
Toyota,bZ4X AWD 73.1 kWh (MY25),375 km,413 km,69.0 kWh,2120 kg,5.1 sec,184 Wh/km,5,C,110 kW,1500 kg,452 L,€141 /km,"€50,990"
Alfa Romeo,Junior Elettrica 54 kWh,320 km,341 km,50.8 kWh,1620 kg,9.0 sec,159 Wh/km,5,B,85 kW,0 kg,400 L,€122 /km,"€39,500"
Porsche,Taycan,410 km,517 km,71.0 kWh,2125 kg,5.4 sec,173 Wh/km,5,F,183 kW,0 kg,491 L,€218 /km,"€88,399"
Tesla,Model S 90D,455 km,449 km,85.5 kWh,2223 kg,4.4 sec,188 Wh/km,5,F,90 kW,unknown,895 L,€230 /km,"€103,320"
Leapmotor,B10 56.2 kWh,305 km,350 km,55.0 kWh,1855 kg,8.0 sec,180 Wh/km,5,C,100 kW,750 kg,430 L,€95 /km,"€29,900"
Audi,Q4 e-tron 40,325 km,378 km,59.0 kWh,2035 kg,8.1 sec,182 Wh/km,5,C,110 kW,1000 kg,520 L,€148 /km,"€46,150"
Opel,Corsa-e (MY20-21),285 km,311 km,46.3 kWh,1530 kg,8.1 sec,162 Wh/km,5,B,78 kW,0 kg,267 L,€107 /km,"€29,900"
Porsche,Taycan 4S,395 km,507 km,71.0 kWh,2215 kg,4.0 sec,180 Wh/km,5,F,183 kW,0 kg,491 L,€272 /km,"€108,867"
Tesla,Model S P100D,475 km,477 km,95.0 kWh,2316 kg,2.7 sec,200 Wh/km,5,F,100 kW,0 kg,895 L,€311 /km,"€145,420"
BMW,iX2 xDrive30,385 km,414 km,64.7 kWh,2095 kg,5.6 sec,168 Wh/km,5,C,93 kW,1200 kg,525 L,€159 /km,"€56,500"
Opel,Ampera-e,335 km,286 km,58.0 kWh,1691 kg,7.3 sec,173 Wh/km,5,B,39 kW,0 kg,381 L,€115 /km,"€42,990"
Ford,Explorer Extended Range AWD,440 km,493 km,79.0 kWh,2167 kg,5.3 sec,180 Wh/km,5,C,135 kW,1200 kg,536 L,€127 /km,"€52,430"
XPENG,P7 RWD Long Range,495 km,554 km,82.7 kWh,2095 kg,6.7 sec,167 Wh/km,5,E,138 kW,0 kg,440 L,€102 /km,"€49,600"
Škoda,Enyaq 85x (MY26),455 km,501 km,77.0 kWh,2186 kg,6.7 sec,169 Wh/km,5,C,120 kW,1800 kg,585 L,€113 /km,"€51,500"
Nissan,LEAF 24 kWh (MY14-17),135 km,144 km,22.0 kWh,1505 kg,11.5 sec,163 Wh/km,5,C,36 kW,unknown,370 L,€213 /km,"€29,690"
Volvo,XC40 Recharge Pure Electric (MY23),330 km,355 km,67.0 kWh,2023 kg,7.4 sec,203 Wh/km,5,C,116 kW,1500 kg,450 L,€146 /km,"€45,080"
Nissan,LEAF 40 kWh (MY23-25),235 km,218 km,39.0 kWh,1580 kg,7.9 sec,166 Wh/km,5,C,40 kW,0 kg,435 L,€134 /km,"€35,900"
Mercedes-Benz,EQS SUV 450 4MATIC,530 km,543 km,118.0 kWh,2840 kg,6.1 sec,223 Wh/km,7,F,160 kW,1800 kg,645 L,€247 /km,"€114,609"
Lucid,Air Sapphire (MY25-26),610 km,693 km,118.0 kWh,2495 kg,2.0 sec,193 Wh/km,5,F,190 kW,0 kg,910 L,€414 /km,"€250,000"
Nissan,e-NV200 Evalia,170 km,157 km,37.0 kWh,1667 kg,14.0 sec,218 Wh/km,7,N,40 kW,0 kg,2000 L,€248 /km,"€43,730"
Volkswagen,ID.3 1st,350 km,375 km,58.0 kWh,1794 kg,7.3 sec,166 Wh/km,5,C,82 kW,0 kg,385 L,€113 /km,"€38,987"
Volkswagen,e-Golf,125 km,133 km,20.5 kWh,1585 kg,10.4 sec,164 Wh/km,5,C,41 kW,unknown,380 L,€270 /km,"€34,900"
Polestar,2 Long Range Single Motor (MY24),470 km,530 km,79.0 kWh,2084 kg,6.2 sec,168 Wh/km,5,D,125 kW,1500 kg,446 L,€112 /km,"€49,975"
NIO,ET5 Long Range,500 km,494 km,90.0 kWh,2235 kg,4.0 sec,180 Wh/km,5,E,100 kW,1400 kg,386 L,€140 /km,"€68,500"
Volkswagen,ID.3 Pro (MY24-26),365 km,422 km,59.0 kWh,1815 kg,7.6 sec,162 Wh/km,5,C,110 kW,0 kg,385 L,€104 /km,"€36,425"
Volkswagen,ID.5 Pro (MY24-25),460 km,508 km,77.0 kWh,2130 kg,6.7 sec,167 Wh/km,5,C,120 kW,1000 kg,549 L,€117 /km,"€48,970"
Tesla,Model 3 Long Range RWD,475 km,583 km,73.5 kWh,1801 kg,5.3 sec,155 Wh/km,5,D,163 kW,910 kg,542 L,€114 /km,N/A
BYD,ATTO 2 64.8 kWh,310 km,347 km,58.0 kWh,1680 kg,7.9 sec,187 Wh/km,5,B,100 kW,unknown,400 L,€130 /km,N/A
Volkswagen,e-Up!,205 km,188 km,32.3 kWh,1235 kg,11.9 sec,158 Wh/km,4,A,30 kW,0 kg,250 L,€118 /km,"€21,421"
Dongfeng,Box 31.4 kWh,190 km,205 km,29.0 kWh,1251 kg,12.5 sec,153 Wh/km,5,B,50 kW,unknown,326 L,€124 /km,N/A
Porsche,Taycan,495 km,622 km,82.3 kWh,2165 kg,4.8 sec,166 Wh/km,5,F,195 kW,0 kg,491 L,€207 /km,"€101,500"
Nissan,LEAF e+ 62 kWh (MY23-25),340 km,291 km,59.0 kWh,1756 kg,6.9 sec,174 Wh/km,5,C,44 kW,0 kg,420 L,€121 /km,"€41,100"
Škoda,Enyaq iV 80x (MY21-23),425 km,467 km,77.0 kWh,2193 kg,6.9 sec,181 Wh/km,5,C,115 kW,1200 kg,585 L,€126 /km,"€49,050"
Tesla,Model S Long Range Plus,555 km,620 km,98.0 kWh,2255 kg,3.8 sec,177 Wh/km,5,F,125 kW,0 kg,894 L,€156 /km,"€81,990"
Mercedes-Benz,EQE SUV 350+ (MY23-24),475 km,503 km,96.0 kWh,2490 kg,6.9 sec,202 Wh/km,5,E,141 kW,750 kg,520 L,€186 /km,"€86,811"
